date,team,group,elo,win_group,reach_r32,reach_r16,reach_qf,reach_sf,reach_final,reach_champion
2026-06-11,Spain,H,2196,0.80068,0.9934,0.77772,0.57838,0.46262,0.32262,0.21384
2026-06-11,Argentina,J,2155,0.751,0.9763,0.67138,0.51746,0.3593,0.22634,0.13126
2026-06-11,France,I,2149,0.61598,0.95658,0.7363,0.50816,0.34342,0.20472,0.12236
2026-06-11,England,L,2117,0.65204,0.9657,0.68948,0.44258,0.27434,0.16164,0.08648
2026-06-11,Brazil,C,2100,0.56754,0.94598,0.62134,0.39356,0.22882,0.12434,0.0646
2026-06-11,Portugal,K,2087,0.51104,0.93366,0.6368,0.3859,0.22336,0.12212,0.0616
2026-06-11,Germany,E,2052,0.49546,0.93048,0.58206,0.3006,0.1644,0.07652,0.03552
2026-06-11,Mexico,A,1933,0.59902,0.93604,0.6085,0.32316,0.15908,0.07552,0.03286
2026-06-11,Colombia,K,2043,0.37612,0.88882,0.54572,0.28476,0.14932,0.07254,0.03086
2026-06-11,Netherlands,F,2044,0.46066,0.89274,0.4928,0.29574,0.14942,0.06776,0.03012
2026-06-11,Norway,I,2010,0.21976,0.78912,0.45132,0.23208,0.10888,0.04596,0.01886
2026-06-11,Ecuador,E,2008,0.36068,0.8845,0.49082,0.23248,0.11162,0.04662,0.01846
2026-06-11,Japan,F,2006,0.35144,0.83616,0.42306,0.22866,0.10612,0.04356,0.01722
2026-06-11,Morocco,C,2003,0.28698,0.83722,0.43772,0.22962,0.10494,0.04272,0.01646
2026-06-11,Belgium,G,1990,0.4768,0.88044,0.52132,0.2616,0.1026,0.04208,0.01608
2026-06-11,Uruguay,H,1984,0.16664,0.85482,0.35664,0.19004,0.0917,0.03786,0.01318
2026-06-11,Switzerland,B,1971,0.43482,0.91464,0.53,0.24072,0.09678,0.037,0.01316
2026-06-11,Canada,B,1864,0.44698,0.91566,0.53204,0.2428,0.09484,0.03568,0.01236
2026-06-11,Turkey,D,1974,0.30826,0.75448,0.42486,0.20102,0.07606,0.03022,0.0111
2026-06-11,Croatia,L,1976,0.22756,0.81426,0.39984,0.1674,0.07482,0.03036,0.01088
2026-06-11,United States,D,1859,0.3019,0.74494,0.41164,0.1902,0.07214,0.02748,0.00946
2026-06-11,Senegal,I,1955,0.13524,0.6665,0.33092,0.14674,0.0572,0.02102,0.00704
2026-06-11,Paraguay,D,1920,0.20864,0.64114,0.3104,0.11986,0.0388,0.01234,0.00382
2026-06-11,Austria,J,1922,0.11464,0.65576,0.2102,0.09164,0.0332,0.01118,0.00302
2026-06-11,Australia,D,1901,0.1812,0.59934,0.26858,0.09662,0.02926,0.00954,0.00276
2026-06-11,Iran,G,1894,0.23688,0.72124,0.31966,0.11294,0.03316,0.00916,0.00246
2026-06-11,South Korea,A,1896,0.19634,0.71518,0.33362,0.11938,0.03428,0.00984,0.00246
2026-06-11,Algeria,J,1903,0.09658,0.60828,0.18786,0.07908,0.02714,0.0085,0.00202
2026-06-11,Scotland,C,1894,0.10924,0.59042,0.22038,0.0817,0.02582,0.00688,0.00194
2026-06-11,Sweden,F,1874,0.11834,0.55694,0.18586,0.06602,0.01942,0.00496,0.00144
2026-06-11,Czech Republic,A,1863,0.14608,0.6414,0.27158,0.08838,0.02286,0.00564,0.00138
2026-06-11,Egypt,G,1864,0.18618,0.65156,0.26314,0.08238,0.02012,0.0052,0.00118
2026-06-11,Panama,L,1848,0.09316,0.59226,0.2009,0.0621,0.01916,0.00546,0.00116
2026-06-11,Ivory Coast,E,1876,0.11742,0.62108,0.23182,0.0744,0.021,0.00508,0.00106
2026-06-11,Uzbekistan,K,1845,0.06386,0.44556,0.1357,0.03772,0.01002,0.0025,0.00034
2026-06-11,Tunisia,F,1823,0.06956,0.41412,0.11382,0.03274,0.0071,0.00144,0.00022
2026-06-11,Jordan,J,1817,0.03778,0.38672,0.089,0.02718,0.00592,0.0012,0.00016
2026-06-11,Iraq,I,1810,0.02902,0.26394,0.07964,0.02166,0.00454,0.00076,0.00012
2026-06-11,Bosnia and Herzegovina,B,1779,0.08026,0.5165,0.1575,0.0386,0.0057,0.001,0.0001
2026-06-11,DR Congo,K,1823,0.04898,0.3829,0.10402,0.0253,0.00596,0.00092,0.0001
2026-06-11,Saudi Arabia,H,1787,0.01856,0.3676,0.0766,0.02206,0.00424,0.00058,0.0001
2026-06-11,South Africa,A,1769,0.05856,0.3896,0.1178,0.02636,0.00392,0.00074,8e-05
2026-06-11,Cape Verde,H,1762,0.01412,0.30888,0.05732,0.01478,0.00226,0.00034,8e-05
2026-06-11,New Zealand,G,1793,0.10014,0.46468,0.14094,0.0322,0.00588,0.0009,8e-05
2026-06-11,Ghana,L,1768,0.02724,0.28236,0.05504,0.01136,0.00224,0.00036,8e-05
2026-06-11,Haiti,C,1761,0.03624,0.3026,0.07408,0.01934,0.00332,0.0005,6e-05
2026-06-11,Curaçao,E,1712,0.02644,0.24968,0.05156,0.01006,0.00132,0.0002,2e-05
2026-06-11,Qatar,B,1710,0.03794,0.31782,0.0707,0.01248,0.00158,0.0001,0.0
2026-06-12,Spain,H,2196,0.80158,0.99306,0.7713,0.5721,0.4579,0.31768,0.2085
2026-06-12,Argentina,J,2155,0.74936,0.97626,0.67844,0.52426,0.36544,0.23016,0.1351
2026-06-12,France,I,2149,0.61902,0.95582,0.73598,0.50664,0.34378,0.20504,0.1239
2026-06-12,England,L,2117,0.64708,0.96444,0.69194,0.43438,0.26856,0.15486,0.08232
2026-06-12,Brazil,C,2100,0.57594,0.94626,0.61828,0.39172,0.22774,0.12346,0.06402
2026-06-12,Portugal,K,2087,0.5143,0.93546,0.63372,0.38768,0.22422,0.12062,0.06168
2026-06-12,Mexico,A,1941,0.67822,0.99176,0.65876,0.35128,0.17744,0.0841,0.03804
2026-06-12,Germany,E,2052,0.49364,0.93028,0.57884,0.30134,0.16562,0.07828,0.036
2026-06-12,Colombia,K,2043,0.37672,0.8893,0.5418,0.28242,0.14958,0.0712,0.03156
2026-06-12,Netherlands,F,2044,0.46342,0.89414,0.4954,0.29124,0.14472,0.06724,0.03058
2026-06-12,Ecuador,E,2008,0.363,0.88422,0.48938,0.22994,0.10972,0.04522,0.01774
2026-06-12,Norway,I,2010,0.21814,0.79136,0.45324,0.23012,0.10678,0.04584,0.0173
2026-06-12,Morocco,C,2003,0.28048,0.83384,0.43272,0.22844,0.10324,0.04296,0.01676
2026-06-12,Japan,F,2006,0.3485,0.84186,0.42044,0.22444,0.10182,0.0422,0.0167
2026-06-12,Belgium,G,1990,0.47608,0.8795,0.52826,0.26494,0.10234,0.04404,0.0166
2026-06-12,Uruguay,H,1984,0.16516,0.85406,0.35332,0.18586,0.08824,0.03632,0.0127
2026-06-12,Canada,B,1864,0.44624,0.91468,0.51926,0.2379,0.09364,0.03414,0.01212
2026-06-12,Switzerland,B,1971,0.43516,0.91302,0.5166,0.23758,0.092,0.035,0.01184
2026-06-12,Turkey,D,1974,0.3075,0.75408,0.42338,0.20144,0.07768,0.03212,0.01166
