date,home,away,xg_home,xg_away,p_home,p_draw,p_away
2026-06-10,Mexico,South Africa,2.93,0.46,0.866,0.102,0.032
2026-06-10,South Korea,Czech Republic,1.41,1.07,0.442,0.281,0.278
2026-06-10,Canada,Bosnia and Herzegovina,2.57,0.53,0.809,0.138,0.053
2026-06-10,United States,Paraguay,1.28,1.19,0.379,0.286,0.335
2026-06-10,Qatar,Switzerland,0.49,2.73,0.042,0.121,0.837
2026-06-10,Brazil,Morocco,1.43,1.06,0.447,0.28,0.273
2026-06-10,Haiti,Scotland,1.01,1.48,0.252,0.276,0.472
2026-06-10,Australia,Turkey,1.09,1.38,0.289,0.282,0.428
2026-06-10,Germany,Curaçao,2.6,0.52,0.816,0.134,0.05
2026-06-10,Ivory Coast,Ecuador,0.77,1.86,0.144,0.231,0.626
2026-06-10,Netherlands,Japan,1.27,1.2,0.374,0.286,0.339
2026-06-10,Sweden,Tunisia,1.3,1.17,0.39,0.286,0.324
2026-06-10,Belgium,Egypt,1.61,0.92,0.529,0.263,0.208
2026-06-10,Iran,New Zealand,1.67,0.88,0.555,0.255,0.189
2026-06-10,Spain,Cape Verde,3.46,0.37,0.921,0.063,0.016
2026-06-10,Saudi Arabia,Uruguay,0.64,2.18,0.091,0.186,0.723
2026-06-10,France,Senegal,1.85,0.78,0.623,0.232,0.145
2026-06-10,Iraq,Norway,0.73,1.95,0.126,0.218,0.656
2026-06-10,Argentina,Algeria,2.3,0.6,0.752,0.171,0.077
2026-06-10,Austria,Jordan,1.51,0.99,0.486,0.273,0.241
2026-06-10,Portugal,DR Congo,2.18,0.64,0.724,0.186,0.09
2026-06-10,Uzbekistan,Colombia,0.71,1.99,0.118,0.212,0.67
2026-06-10,England,Croatia,1.53,0.98,0.495,0.271,0.234
2026-06-10,Ghana,Panama,0.68,2.08,0.104,0.2,0.696
2026-06-10,Czech Republic,South Africa,1.58,0.94,0.518,0.266,0.216
2026-06-10,Mexico,South Korea,1.84,0.78,0.619,0.233,0.148
2026-06-10,Switzerland,Bosnia and Herzegovina,2.29,0.61,0.751,0.172,0.077
2026-06-10,Canada,Qatar,3.0,0.44,0.875,0.096,0.029
2026-06-10,Scotland,Morocco,0.93,1.59,0.214,0.265,0.521
2026-06-10,Brazil,Haiti,2.41,0.57,0.779,0.156,0.065
2026-06-10,United States,Australia,1.32,1.16,0.396,0.285,0.319
2026-06-10,Turkey,Paraguay,1.34,1.13,0.41,0.284,0.306
2026-06-10,Germany,Ivory Coast,1.76,0.82,0.591,0.243,0.165
2026-06-10,Ecuador,Curaçao,2.72,0.49,0.836,0.121,0.042
2026-06-10,Netherlands,Sweden,1.98,0.72,0.665,0.214,0.121
2026-06-10,Tunisia,Japan,0.69,2.05,0.109,0.204,0.687
2026-06-10,Belgium,Iran,1.37,1.11,0.419,0.283,0.297
2026-06-10,New Zealand,Egypt,1.07,1.41,0.278,0.281,0.441
2026-06-10,Spain,Saudi Arabia,3.33,0.39,0.91,0.071,0.019
2026-06-10,Uruguay,Cape Verde,2.38,0.58,0.771,0.16,0.068
2026-06-10,France,Iraq,2.71,0.5,0.835,0.122,0.043
2026-06-10,Norway,Senegal,1.36,1.11,0.417,0.284,0.299
2026-06-10,Argentina,Austria,2.27,0.61,0.746,0.175,0.08
2026-06-10,Jordan,Algeria,1.0,1.49,0.247,0.275,0.478
2026-06-10,Portugal,Uzbekistan,1.92,0.75,0.644,0.223,0.133
2026-06-10,Colombia,DR Congo,2.27,0.61,0.747,0.174,0.079
2026-06-10,England,Ghana,3.08,0.43,0.885,0.089,0.026
2026-06-10,Panama,Croatia,1.06,1.42,0.274,0.28,0.445
2026-06-10,Mexico,Czech Republic,2.21,0.63,0.73,0.182,0.087
2026-06-10,South Africa,South Korea,0.76,1.88,0.14,0.228,0.633
2026-06-10,Canada,Switzerland,1.36,1.12,0.415,0.284,0.301
2026-06-10,Bosnia and Herzegovina,Qatar,1.43,1.05,0.449,0.28,0.271
2026-06-10,Scotland,Brazil,0.75,1.91,0.134,0.224,0.643
2026-06-10,Morocco,Haiti,2.0,0.71,0.671,0.211,0.117
2026-06-10,United States,Turkey,1.17,1.3,0.327,0.286,0.387
2026-06-10,Paraguay,Australia,1.27,1.2,0.373,0.287,0.34
2026-06-10,Curaçao,Ivory Coast,0.85,1.71,0.179,0.25,0.571
2026-06-10,Ecuador,Germany,1.28,1.19,0.38,0.286,0.333
2026-06-10,Japan,Sweden,1.9,0.75,0.64,0.225,0.135
2026-06-10,Tunisia,Netherlands,0.66,2.13,0.097,0.193,0.71
2026-06-10,Egypt,Iran,1.05,1.43,0.27,0.279,0.451
2026-06-10,New Zealand,Belgium,0.75,1.91,0.133,0.223,0.643
2026-06-10,Cape Verde,Saudi Arabia,1.15,1.32,0.317,0.285,0.397
2026-06-10,Uruguay,Spain,0.71,1.99,0.118,0.212,0.67
2026-06-10,Norway,France,0.9,1.63,0.201,0.26,0.538
2026-06-10,Senegal,Iraq,1.71,0.85,0.57,0.25,0.179
2026-06-10,Algeria,Austria,1.22,1.25,0.351,0.287,0.362
2026-06-10,Jordan,Argentina,0.47,2.85,0.036,0.109,0.855
2026-06-10,Colombia,Portugal,1.27,1.2,0.375,0.286,0.339
2026-06-10,DR Congo,Uzbekistan,1.11,1.36,0.3,0.284,0.417
2026-06-10,Panama,England,0.79,1.82,0.152,0.236,0.612
2026-06-10,Croatia,Ghana,2.49,0.55,0.795,0.147,0.058
2026-06-12,Canada,Bosnia and Herzegovina,1.788,0.814,0.5988,0.2405,0.1607
2026-06-12,United States,Paraguay,1.348,1.127,0.4106,0.2841,0.3053
2026-06-12,Qatar,Switzerland,0.678,2.081,0.1044,0.1999,0.6957
2026-06-12,Brazil,Morocco,1.458,1.03,0.4625,0.2775,0.2601
2026-06-12,Haiti,Scotland,1.023,1.467,0.2566,0.2767,0.4667
2026-06-12,Australia,Turkey,1.081,1.398,0.2838,0.2816,0.4346
2026-06-12,Germany,Curaçao,2.301,0.602,0.7537,0.1702,0.0761
2026-06-12,Ivory Coast,Ecuador,0.95,1.563,0.2229,0.2678,0.5093
2026-06-12,Netherlands,Japan,1.315,1.155,0.3956,0.2854,0.319
2026-06-12,Sweden,Tunisia,1.344,1.129,0.4093,0.2844,0.3063
2026-06-12,Belgium,Egypt,1.543,0.965,0.5005,0.2698,0.2296
2026-06-12,Iran,New Zealand,1.47,1.021,0.4681,0.2765,0.2555
2026-06-12,Spain,Cape Verde,2.938,0.452,0.8677,0.1009,0.0314
2026-06-12,Saudi Arabia,Uruguay,0.807,1.794,0.1584,0.2395,0.602
2026-06-12,France,Senegal,1.783,0.814,0.5977,0.2411,0.1612
2026-06-12,Iraq,Norway,0.801,1.806,0.1557,0.2379,0.6064
2026-06-12,Argentina,Algeria,2.036,0.695,0.6827,0.206,0.1113
2026-06-12,Austria,Jordan,1.48,1.013,0.4726,0.2756,0.2517
2026-06-12,Portugal,DR Congo,2.093,0.673,0.6993,0.1981,0.1025
2026-06-12,Uzbekistan,Colombia,0.807,1.795,0.1584,0.2395,0.6021
2026-06-12,England,Croatia,1.589,0.932,0.5207,0.2649,0.2143
2026-06-12,Ghana,Panama,0.994,1.503,0.2432,0.2736,0.4833
2026-06-12,Czech Republic,South Africa,1.41,1.07,0.4406,0.2808,0.2786
2026-06-12,Mexico,South Korea,1.563,0.954,0.5088,0.2677,0.2236
2026-06-12,Switzerland,Bosnia and Herzegovina,1.775,0.818,0.5948,0.2422,0.1631
2026-06-12,Canada,Qatar,2.095,0.675,0.6991,0.1981,0.1028
2026-06-12,Scotland,Morocco,1.001,1.495,0.2464,0.2744,0.4792
2026-06-12,Brazil,Haiti,2.296,0.603,0.7525,0.1708,0.0767
2026-06-12,United States,Australia,1.391,1.089,0.4309,0.2819,0.2872
2026-06-12,Turkey,Paraguay,1.353,1.12,0.4136,0.284,0.3024
2026-06-12,Germany,Ivory Coast,1.714,0.853,0.5715,0.2501,0.1784
2026-06-12,Ecuador,Curaçao,2.085,0.676,0.6969,0.1993,0.1038
2026-06-12,Netherlands,Sweden,1.689,0.867,0.5618,0.2532,0.185
2026-06-12,Tunisia,Japan,0.839,1.737,0.1725,0.2472,0.5804
2026-06-12,Belgium,Iran,1.457,1.031,0.4621,0.2775,0.2604
2026-06-12,New Zealand,Egypt,1.085,1.392,0.2859,0.282,0.4321
2026-06-12,Spain,Saudi Arabia,2.819,0.475,0.8513,0.1117,0.0369
2026-06-12,Uruguay,Cape Verde,1.898,0.756,0.6385,0.2254,0.1361
2026-06-12,France,Iraq,2.466,0.555,0.7901,0.1496,0.0603
2026-06-12,Norway,Senegal,1.355,1.119,0.4144,0.2839,0.3017
2026-06-12,Argentina,Austria,1.949,0.732,0.6555,0.2182,0.1263
2026-06-12,Jordan,Algeria,1.054,1.429,0.2713,0.2796,0.4491
2026-06-12,Portugal,Uzbekistan,1.988,0.715,0.6677,0.2128,0.1195
2026-06-12,Colombia,DR Congo,1.889,0.76,0.6354,0.2266,0.138
2026-06-12,England,Ghana,2.515,0.542,0.7999,0.1439,0.0563
2026-06-12,Panama,Croatia,1.033,1.454,0.2613,0.2777,0.461
2026-06-12,Mexico,Czech Republic,1.852,0.781,0.622,0.2318,0.1463
2026-06-12,South Africa,South Korea,0.893,1.648,0.1966,0.2582,0.5452
2026-06-12,Canada,Switzerland,1.248,1.221,0.3631,0.2867,0.3501
2026-06-12,Bosnia and Herzegovina,Qatar,1.389,1.088,0.4307,0.2821,0.2871
2026-06-12,Scotland,Brazil,0.789,1.83,0.1503,0.2347,0.6151
2026-06-12,Morocco,Haiti,1.845,0.781,0.6201,0.2327,0.1472
2026-06-12,United States,Turkey,1.229,1.239,0.3543,0.2868,0.359
2026-06-12,Paraguay,Australia,1.273,1.196,0.3754,0.2864,0.3382
2026-06-12,Curaçao,Ivory Coast,0.955,1.556,0.2249,0.2684,0.5066
2026-06-12,Ecuador,Germany,1.143,1.329,0.3129,0.285,0.4021
